cph,easting,northing,cattle,pigs,sheep,goats,deer
12/31/442,414200,532300,75,2,121,0,0
48/7/14,437400,501900,4,0,0,0,0
48/7/15,438024,501837,0,0,80,1,0
48/7/16,438200,501400,353,0,362,0,0
48/7/22,437594,502618,0,0,69,0,0
48/7/23,437419,502718,3,0,118,0,0
48/7/27,437560,502744,1,0,16,0,0
48/8/5,440200,500200,0,0,388,0,0
48/8/23,442300,499700,5,0,0,0,0
48/8/26,442008,499770,30,0,0,0,0
48/8/9002,442300,499900,5,0,0,0,0
48/8/9007,442100,499600,0,0,14,0,0
4/529/22,436300,522700,0,0,67,0,0
4/615/1,443400,509700,0,0,593,0,0
4/755/60,448300,524800,101,2,4,0,0
4/755/9004,448000,524700,2,804,1,0,0
48/439/2,450500,506400,106,0,0,0,0
48/439/3,450955,504963,29,0,0,0,0
48/439/5,451006,505027,4,0,0,0,0
48/478/132,486329,503578,16,0,0,0,0
8/309/6544,369803,520360,0,0,139,0,0
8/391/6507,363800,523300,0,0,72,0,0
12/208/6502,408800,534500,0,0,189,0,0
48/77/6,428600,502300,10,0,10,0,0
8/309/6528,365000,518500,15,0,239,0,0
8/314/6504,365900,514500,0,0,5,0,0
8/309/6529,366500,523500,191,0,0,0,0
8/309/6530,369200,517000,77,0,0,0,0
8/309/6531,364400,516400,0,0,324,0,0
8/319/6527,385100,511400,0,0,34,0,0
8/312/6502,381800,514400,0,0,82,0,0
8/309/6536,371900,519800,17,0,16,0,0
8/318/6502,379400,514100,47,0,167,0,0
12/54/6504,406900,528800,171,0,1161,0,0
12/54/6508,409400,528200,18,0,226,0,0
12/3/6502,412000,525400,0,0,90,0,0
12/3/6504,413100,524900,0,0,15,0,0
12/3/6503,411600,525500,0,0,25,0,0
12/3/6505,412900,524700,0,0,429,0,0
12/31/6503,416800,538000,17,0,5,0,0
12/31/6515,413800,535400,0,0,66,0,0
12/14/6505,394900,525700,0,0,13,0,0
31/185/6501,372000,567900,0,0,145,0,0
31/367/6500,380200,569200,52,0,388,0,0
12/8/9,416600,522900,0,0,45,0,0
12/20/6501,416600,523400,0,0,748,0,0
12/15/6500,418600,521300,209,2,101,0,0
48/67/6500,433100,502300,5,0,25,0,0
