cph,easting,northing,cattle,pigs,sheep,goats,deer
12/31/442,414200,532300,1.22452254524582,0.0385897432780373,0.281894625350366,0,0
48/7/14,437400,501900,0.065307869079777,0,0,0,0
48/7/15,438024,501837,0,0,0.186376611801895,2.59600915930651,0
48/7/16,438200,501400,5.76341944629033,0,0.843354168403575,0,0
48/7/22,437594,502618,0,0,0.160749827679134,0,0
48/7/23,437419,502718,0.0489809018098328,0,0.274905502407795,0,0
48/7/27,437560,502744,0.0163269672699443,0,0.037275322360379,0,0
48/8/5,440200,500200,0,0,0.90392656723919,0,0
48/8/23,442300,499700,0.0816348363497213,0,0,0,0
48/8/26,442008,499770,0.489809018098328,0,0,0,0
48/8/9002,442300,499900,0.0816348363497213,0,0,0,0
48/8/9007,442100,499600,0,0,0.0326159070653316,0,0
4/529/22,436300,522700,0,0,0.156090412384087,0,0
4/615/1,443400,509700,0,0,1.38151663498155,0,0
4/755/60,448300,524800,1.64902369426437,0.0385897432780373,0.00931883059009475,0,0
4/755/9004,448000,524700,0.0326539345398885,15.5130767977710,0.00232970764752369,0,0
48/439/2,450500,506400,1.73065853061409,0,0,0,0
48/439/3,450955,504963,0.473482050828384,0,0,0,0
48/439/5,451006,505027,0.065307869079777,0,0,0,0
48/478/132,486329,503578,0.261231476319108,0,0,0,0
8/309/6544,369803,520360,0,0,0.323829363005793,0,0
8/391/6507,363800,523300,0,0,0.167738950621705,0,0
12/208/6502,408800,534500,0,0,0.440314745381977,0,0
48/77/6,428600,502300,0.163269672699443,0,0.0232970764752369,0,0
8/309/6528,365000,518500,0.244904509049164,0,0.556800127758161,0,0
8/314/6504,365900,514500,0,0,0.0116485382376184,0,0
8/309/6529,366500,523500,3.11845074855936,0,0,0,0
8/309/6530,369200,517000,1.25717647978571,0,0,0,0
8/309/6531,364400,516400,0,0,0.754825277797675,0,0
8/319/6527,385100,511400,0,0,0.0792100600158054,0,0
8/312/6502,381800,514400,0,0,0.191036027096942,0,0
8/309/6536,371900,519800,0.277558443589053,0,0.037275322360379,0,0
8/318/6502,379400,514100,0.76736746168738,0,0.389061177136456,0,0
12/54/6504,406900,528800,2.79191140316047,0,2.704790578775,0,0
12/54/6508,409400,528200,0.293885410858997,0,0.526513928340353,0,0
