cph,i,n,r,type
4/755/60,76.1126520281784,77,79,IP
8/124/3,84.9422026580006,89,104,IP
8/145/4,52.4481230851865,57,58,IP
8/145/15,73.0081768166676,78,78,IP
8/169/16,44.3927381073268,48,50,IP
8/169/30,48.7265850166981,50,52,IP
8/169/45,43.5845979562548,54,55,IP
8/169/81,48.031493344907,50,51,IP
8/309/1,193.506877868803,196,197,IP
8/309/4,196.315278797952,201,201,IP
8/309/41,144.422810777153,150,151,IP
8/309/46,144.280393614624,147,148,IP
8/309/50,181.71313572928,184,184,IP
8/309/86,190.016405680742,194,196,IP
8/309/92,188.993349088509,200,200,IP
8/309/163,68.5492447503734,71,71,IP
8/311/8,72.3782715162932,74,74,IP
8/315/9,181.418365621298,184,186,IP
8/315/10,149.416219255503,155,155,IP
8/315/15,139.910114869648,141,141,IP
8/315/24,130.404117180347,136,136,IP
8/315/41,94.0575495312868,97,97,IP
8/315/47,148.22081347754,152,153,IP
8/315/48,131.469318511128,136,136,IP
8/315/49,237.782024355297,241,241,IP
8/315/50,211.568249257788,212,213,IP
8/315/53,194.229789501106,199,200,IP
8/315/69,150.694572201452,155,156,IP
8/315/76,142.520444730764,149,149,IP
8/315/79,223.890100821545,226,226,IP
8/315/84,219.349387202212,225,225,IP
8/315/9011,151.048541206212,154,154,IP
8/316/9,203.521318535982,206,206,IP
8/316/18,133.747768010753,140,141,IP
8/316/28,60.5999881756562,62,63,IP
8/317/12,170.129071286526,180,181,IP
8/317/21,163.73472733605,167,168,IP
8/321/4,55.4858868524286,60,61,IP
8/321/50,121.459119562534,124,125,IP
8/321/53,70.9997835914135,72,73,IP
8/321/54,63.5364005366254,66,67,IP
8/322/3,54.5066977237768,58,60,IP
8/322/9,60.9308674065534,66,67,IP
8/322/52,57.0527475585223,60,61,IP
8/324/14,47.3672860865848,50,53,IP
8/324/49,58.5477331811678,62,63,IP
8/325/6,162.228990673893,165,153,IP
8/325/10,146.27750375427,151,152,IP
8/327/12,200.130548142578,203,204,IP
8/327/16,208.00466954936,213,213,IP
8/327/31,200.754673419892,206,196,IP
8/327/38,109.888043940981,111,112,IP
8/327/55,208.697165654488,214,214,IP
8/327/66,212.812420945323,218,218,IP
8/327/129,193.24351227415,197,198,IP
8/328/1,162.440341477083,165,165,IP
8/330/54,216.789705285168,219,220,IP
8/331/6,131.624196234643,136,136,IP
8/331/8,140.844457002217,143,143,IP
8/333/3,136.193594738412,141,142,IP
8/333/35,141.749259524407,145,145,IP
8/333/82,153.625305081796,157,157,IP
8/333/91,162.243207339831,165,166,IP
8/334/8,187.679653304306,192,192,IP
8/335/2,203.328545184712,207,208,IP
8/335/5,184.675353113331,188,189,IP
8/335/6,184.4166369461,188,189,IP
8/335/11,157.642732218644,160,160,IP
8/335/14,148.646763830283,155,155,IP
8/391/2,129.134109292595,135,135,IP
8/405/16,139.418749888183,141,141,IP
8/414/7,130.684514893058,136,137,IP
12/2/4,66.5116375692748,72,73,IP
12/10/10,50.6270001612596,53,55,IP
12/12/99,53.4697031845037,58,60,IP
12/15/2,77.1114237483203,81,82,IP
12/17/3,100.170756550954,105,106,IP
12/17/6,96.4626635401171,99,99,IP
12/17/11,92.8381695301597,95,96,IP
12/23/1,67.4169509203404,71,72,IP
12/23/17,86.8886620776458,90,91,IP
12/31/26,51.8360698025231,55,56,IP
12/31/391,62.7030765729135,66,68,IP
12/31/404,40.1939651125687,44,46,IP
12/31/438,35.309888011573,40,41,IP
12/31/439,60.3254474190233,63,64,IP
12/31/444,28.2708019326044,31,33,IP
12/31/455,44.2633840914104,51,53,IP
12/31/486,45.1397752846017,48,53,IP
12/31/554,23.1012963022574,26,28,IP
12/31/9018,38.4081258060682,43,45,IP
12/40/17,44.4610492715432,47,48,IP
12/40/218,58.4374327674625,60,62,IP
12/41/93,29.7596932621721,33,33,IP
12/53/42,76.3049510786918,78,78,IP
12/54/4,70.780118261915,73,74,IP
12/54/6,49.4045260744836,53,55,IP
