"id","x","y","flocksize"
0,352.869,119.868,18000
1,346.708,152.345,6500
2,345.51,160.061,7500
3,320.057,99.073,15200
4,303.016,103.551,24000
5,304.884,112.135,45000
6,302.28,112.287,24000
7,282.567,113.778,24000
8,287.841,110.164,30000
9,289.059,110.378,23500
10,278.347,115.993,25000
11,295.676,108.347,10000
12,280.725,110.268,12000
13,287.261,106.155,13000
14,269.782,108.962,40000
15,265.59,109.177,12000
16,226.793,103.927,36000
17,221.23,102.487,25000
18,258.466,136.202,24000
19,260.145,134.785,22500
20,252.317,141.731,12000
21,273.67,125.462,12000
22,258.616,121.675,30000
23,286.544,98.682,24000
24,284.327,91.4,36000
25,311.225,108.489,135000
26,312.738,105.935,78000
27,308.852,115.502,24000
28,305.843,112.58,13500
29,286.03,112.7,120000
30,261.078,109.244,120000
31,229.595,105.256,24500
32,231.805,120.978,24000
33,382.799,124.792,48750
34,307.781,119.84,14875
35,308.179,119.367,22000
36,322.931,112.95,26000
37,332.967,146.357,120000
38,335.583,106.206,24000
39,291.58,125.384,39500
40,289.249,124.654,36000
41,324.638,134.475,24000
42,326.521,137.612,25000
43,273.189,61.503,9500
44,274.052,62.494,9000
45,285.961,60.59,20000
46,327.154,145.931,64000
47,241.222,116.96,12000
48,262.854,93.916,25000
49,244.334,117.653,15000
50,323.898,99.24,13000
51,280.146,108.524,9000
52,244.382,119.846,6000
53,313.697,131.12,24000
54,300.295,103.315,25000
55,319.209,141.462,26000
56,284.69,101.804,15000
57,285.436,107.532,75000
58,283.048,52.733,17000
59,358.953,143.579,39000
60,291.338,112.066,16000
61,270.58,109.896,15000
62,227.36,104.066,24000
63,269.896,125.901,22000
64,271.017,124.846,18000
65,263.322,118.611,6000
66,353.485,120.503,46500
67,302.575,105.82,20000
68,266.96,126.305,48000
69,298.094,94.793,13000
70,282.449,106.217,17500
71,299.19,140.795,25000
72,296.861,109.43,24000
73,540.793,116.41,15000
74,582.356,143.825,10500
75,578.707,147.911,61000
76,577.188,151.314,56000
77,578.915,138.734,26000
78,578.872,140.8,700000
79,578.741,140.079,41600
80,570.609,133.439,82500
81,594.296,135.827,240000
82,604.992,118.374,25000
83,585.502,137.225,6600
84,592.272,128.489,38000
85,447.764,176.732,18700
